Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Yong-Ling Ban|University of Electronic Science and Technology of China!!!Compact PIFA using capacitive coupled-fed for LTE/GSM/UMTS WWAN operation in the mobile application*@*Internal low profile multiband MIMO antenna for WWAN /LTE mobile phone applications
She Xiangyang|Xi' an University of Science & Technology!!!Chaos Quantum Clonal Multiobjective Evolutionary Algorithm
Ming Chen|China University of Petroleum!!!Cloud computing: A synthesis models for resource service management*@*The Study of Interfacing Wireless Sensor Networks to Grid Computing Based on Web Service
Mojun Su|None!!!A Service Level Agreement for the Resource Transaction Risk Based on Cloud Bank Model
Ying Lu|None!!!Application and Research of Mobile Terminal with Android in the Equipment Monitoring System
Huang Liwei|None!!!Point-of-interest recommendation in location-based social networks with personalized geo-social influence
Jinbei Zhang|Shanghai Jiao Tong University!!!Asymptotic Analysis on Throughput and Delay in Cognitive Social Networks*@*Impact of Social Relation and Group Size in Multicast Ad Hoc Networks*@*Impacts of Social Relationships and Inhomogeneous Node Distribution on the Network Performance*@*Modeling Multicast Group in Wireless Social Networks: A Combination of Geographic and Non-Geographic Perspective
Li Chengcheng|None!!!Study on Access Control Model of Service-Oriented Computing
Li-Hua Han|None!!!Framework of grid computing based on semantic web service
Kuisheng Wang|Xi'an Shiyou University!!!Detection method of SQL injection attack in cloud computing environment
Bo Zhou|Southeast University!!!Research on information service management mode based on cloud computing*@*Probabilistic terrain modeling of mobile robots for outdoor applications using a scanning laser
Mingyue Fang|None!!!A Hierarchical Multi-label Propagation Algorithm for Overlapping Community Discovery in Social Networks
Luan Gao|None!!!The Contingent Effects of Social Networks on Social Learning in ERP Assimilation
Ting Zhu|None!!!VPBS: A Velocity-Perception-Based SFM Approach for Crowd Simulation
Ying Li|Shandong University!!!Author cooperation relationship in digital publishing based on social network analysis*@*A High Throughput Pilot Allocation for M2M Communication in Crowded Massive MIMO Systems*@*Modern Service Industry and Crossover Services: Development and Trends in China*@*A semantic and adaptive context management service for smart vehicle space in ubiquitous computing environments*@*A Multi-node Renewable Algorithm Based on Charging Range in Large-Scale Wireless Sensor Network*@*An Extended Matrix Factorization Approach for QoS Prediction in Service Selection
Weijie Wu|Shanghai Jiao Tong University!!!Impact of Social Relation and Group Size in Multicast Ad Hoc Networks
Yi Li|None!!!Research on dynamic reconfiguration technology of cloud computing virtual services*@*Community Influence Analysis Based on Social Network Structures
Long Jianwu|None!!!Dynamic Crowd Emotion Contagion Simulation with GPU Acceleration
Guobing Li|Xi'an Jiaotong University!!!High-rate cooperative beamforming for physical-layer security in wireless cyber-physical systems
Jiang Wang|None!!!Software Defined Mobile Network for Flexible Deployments of Various IoT Applications
Qiaoqiao Chen|None!!!A Unified Modeling and Verifying Framework for Cyber Physical Systems
Xiaomin Hu|Shanghai Second Polytechnic University!!!Reliable service computing platform architecture for cross-organizational workflows
Quanxin Zhao|University of Electronic Science and Technology of China!!!A scalable gather point based data delivery scheme in mobile social networks
Ce Yang|None!!!Two-Step-Ranking Secure Multi-Keyword Search over Encrypted Cloud Data*@*A Fast Privacy-Preserving Multi-keyword Search Scheme on Cloud Data
Liming Xie|Lanzhou University of Technology!!!A novel multi-objective particle swarm optimization based on dynamic crowding distance
Imran Memon|University of Electronic Science and Technology of China!!!Improvement of content delivery in Mobile Social Networks*@*Modeling the spreading behavior of passive worms in mobile social networks
Bao-shan Yan|Tianjin University of Technology and Education!!!A dual-band microstrip antenna for aviation and mobile application
Jiang Feng|None!!!The Research of DDoS Attack Detecting Algorithm Based on the Feature of the Traffic
Chungang Yan|None!!!Multi-Level Topical Text Categorization with Wikipedia*@*Multi-Level Topical Text Categorization with Wikipedia*@*A Multilevel Index Model to Expedite Web Service Discovery and Composition in Large-Scale Service Repositories
Qing Hu|None!!!The Contingent Effects of Social Networks on Social Learning in ERP Assimilation
Dai Min|None!!!Study of Social Network Based Wearable ECG Health Interaction Platform
Wing-Yi Hui|The Hong Kong Polytechnic University!!!Performance evaluation of social relation opportunistic routing in dynamic social networks
Yueqi Zhou|None!!!A Rule-Based Recommendation for Personalization in Social Networks
Jiali Ren|None!!!Mobile-Based AR Application Helps to Promote EFL Children's Vocabulary Study
Jin-he Zhou|Beijing Information Science and Technology University!!!Task scheduling and resource allocation algorithm in cloud computing system based on non-cooperative game
Xiabing Zhou|Peking University!!!Influence Maximization on Large-Scale Mobile Social Network: A Divide-and-Conquer Method
Dong Huang|South China Agricultural University!!!FTMF: Recommendation in social network with Feature Transfer and Probabilistic Matrix Factorization*@*Weighted Multi-view On-Line Competitive Clustering
Shengli Liu|None!!!Prediction and Clustering of User Relationship in Social Network
Shibo He|Zhejiang University!!!Leveraging Crowdsourcing for Efficient Malicious Users Detection in Large-Scale Social Networks*@*When Social Network Meets Mobile Cloud: A Social Group Utility Approach for Optimizing Computation Offloading in Cloudlet*@*Double-Sided Bidding Mechanism for Resource Sharing in Mobile Cloud*@*Robust and Cost-Effective Design of Cyber-Physical Systems: An Optimal Middleware Deployment Approach
Yongjie Tan|None!!!Cyber-Physical-Social-Thinking Modeling and Computing for Geological Information Service System*@*Cyber-Physical-Social-Thinking Modeling and Computing for Geological Information Service System
Benhua Guo|None!!!An Efficient Data Transmission Strategy for Cyber-Physical Systems in the Complicated Environment
Jiajie Shen|East China Normal University!!!GA-based close relationship matching under social network environment
Ruini Xue|University of Electronic Science and Technology of China!!!A Service Framework for Scientific Workflow Management in the Cloud
Jinyang Zhao|None!!!Security Objectives of Cyber Physical Systems
Guangliang Men|None!!!A floor cleaning robot using Swedish wheels
Chihung Chi|None!!!Stakeholder Interactions to Support Service Creation in Cloud Computing
Zhongcheng Zhou|None!!!Chinese Article Classification Oriented to Social Network Based on Convolutional Neural Networks
Qian Wang|Wuhan University!!!Real-time and Spatio-temporal Crowd-sourced Social Network Data Publishing with Differential Privacy*@*Real-time and Spatio-temporal Crowd-sourced Social Network Data Publishing with Differential Privacy*@*RescueDP: Real-time spatio-temporal crowd-sourced data publishing with differential privacy
Aobing Sun|Henan University of Technology!!!CSB: Cloud service bus based public SaaS platform for small and median enterprises*@*Cloud computing platform and big data service for incubator cluster*@*Hybrid prediction model based on BP neural network for lung cancer
Jian Liu|Beihang University!!!SEDA4SC: A staged event-driven architecture for adaptive service computing runtime*@*Application of a robotic system with mobile manipulator and vision positioning
Zheng Pei|Xihua University!!!KK-Clique Community Detection in Social Networks Based on Formal Concept Analysis
Sha Yao|None!!!Semigradient-Based Cooperative Caching Algorithm for Mobile Social Networks
Yuming Zhao|Zhaoqing University!!!Efficient star nodes discovery algorithm in social networks based on acquaintance immunization
Zhang Xiong|None!!!Data Vitalization's Perspective Towards Smart City: A Reference Model for Data Service Oriented Architecture*@*Influencing Factors Analysis of People's Answering Behaviours on Social Network Based Questions*@*Data Vitalization's Perspective Towards Smart City: A Reference Model for Data Service Oriented Architecture
Fei Tong|None!!!Implementation of a Trust-Behavior Based Reputation System for Mobile Applications
Jian Lin|None!!!Modeling and Designing Fault-Tolerance Mechanisms for MPI-Based MapReduce Data Computing Framework
Deyu Qi|South China University of Technology!!!Control protocols design for cyber-physical systems
Ruijin Wang|None!!!Fast Community Discovery and Its Evolution Tracking in Time-Evolving Social Networks
Jing Liu|Inner Mongolia University!!!How P2P live streaming systems scale quickly under a flash crowd?*@*A Multiobjective Evolutionary Algorithm Based on Similarity for Community Detection From Signed Social Networks*@*A QoS Evolutionary Method of Cloud Service Based on User Utility Model*@*Specifying Cyber Physical System Safety Properties with Metric Temporal Spatial Logic*@*Spatio-temporal Properties Analysis for Cyber-physical Systems*@*Spatio-temporal UML Statechart for Cyber-Physical Systems*@*Research and Design of Intelligent Computing Platform for Industrial Process Based on the Mobile Service*@*Evaluating Energy Consumption for Cyber-Physical Energy System: An Environment Ontology-Based Approach*@*Power-Aware Cloud Computing Infrastructure for Latency-Sensitive Internet-of-Things Services*@*Bandwidth-aware peer selection for P2P live streaming systems under flash crowds
Quan Zou|Southwest University!!!Research on cloud computing for disaster monitoring using massive remote sensing data
Alvin T.S. Chan|None!!!A Framework for Partitioning and Execution of Data Stream Applications in Mobile Cloud Computing
Haichao Du|None!!!Cyber-physical failure detection system: Survey and implementation
Xinqian Zhang|East China Normal University!!!Sustainability-Oriented Evaluation and Optimization for MPSoC Task Allocation and Scheduling Under Thermal and Energy Variations
Max Q.-H Meng|The Chinese University of Hong Kong!!!Indoor environment applications for mobile robots using Kinect2.0
Guisheng Yin|None!!!Research on Communities Detection in Social Network
Zhongying Zhao|Shandong University of Science and Technology!!!Collecting, managing and analyzing social networking data effectively
